,business_id,positive words,negative words
0,1Dfx3zM-rW4n-31KeC8sJg,,"lunch,time,taco,quesadilla,chicken,service"
1,tstimHoMcYbkSC4eBA1wEg,vegan,"guacamole,waitress,tortilla,salsa,service,chips"
2,NPHZkn1e-tSJAbo8Zm9rYw,"chicken,time,guacamole","burrito,service,steak"
3,voZnDQs6Hs3YpNcS-9TALg,"burrito,pork,chile,salad,chicken","asada,salsa,time"
4,jScBTQtdAt-8RshaiBEHgw,"breakfast,pork,fish",service
5,IgQ8lSds3AgLFQsYsshUHQ,"time,pork,vegan","dinner,guacamole,beef,taco,service,fish"
6,Rs8Wi4OEjeOX7LVlzsXDOA,,"service,time,rice"
7,c7JoAt6a3Ufkpn3TrGU23A,,"service,staff"
8,AXq8uPxqBP-c5PCrnba-4A,,"lunch,service"
9,jX9DocoiY4Bo9EUkaTSqvg,rice,"time,price,chipotle,burrito"
10,UdL8Z06DaNj6qhen0fEH9A,,service
11,HqerocZHKSRFD8NTrIkbaw,"price,drink,lunch,staff","waiter,time,service,burrito"
12,3-aEgS7X2jrbxA7sA1nARw,"taco,dinner,guacamole","time,service"
13,rwscnQMpddjkVNaJQhNuHw,meat,"service,shrimp"
14,Gj8ANgQ6FcWdhrpEwUsxqQ,,
15,dusNIzdCaH6EoLl2hRy6cQ,"lunch,pork,price","time,guacamole,service,chipotle,rice"
16,9vub2LM7Djy8P-LPumcLXA,,"price,time,taco"
17,q8MUVVuQpfR6v0HBHmAFxw,"atmosphere,chicken","service,fish"
18,giCq1MmW-_S2tvNOAHvJcQ,"time,service,fries","lunch,steak"
19,GvEjbCm5sNdLZ4fzJ9hvUQ,,service
20,9ttdN9MIS1j9c8Hp5TmZnw,,"time,service"
21,vrSJPjntzfCPgogFPSCHiA,lunch,"time,service,staff"
22,H2Chxto2e6dHTDJ8-s3-pQ,"chips,salsa,breakfast,fries","time,meat,taco,asada,price"
23,RJdSwvgAd2TRdQw4iOsrag,"vegan,staff","time,chicken,service"
24,GLKg_Lu1LK7A0EqR45gpAQ,,
25,I4ADugPUJJQJElQekgnY0Q,,"service,lunch,dinner,price"
26,cMK38jKxH8x5PvFfAfjZmA,"salsa,chicken,service",guacamole
27,BxRsg5YTYnxXEhoGcabydg,chipotle,"asada,price,rice"
28,nYvBZYg9rfqWFTYuxSVMdw,"lunch,staff,dinner,guacamole","chicken,time,service"
29,v7UIeEvwNd3fleFE6icm3A,,"atmosphere,taco"
30,FiG8PzWKRYehtPPcPtOStw,"beef,price,chile","burrito,time,margarita,salsa,service"
31,4PqqRa7o_eNydKdGWYdIog,"asada,beef,chicken,rice","time,meat,taco,salsa,service"
32,VR2LTEsJByan97fcYRkl5w,shrimp,"waitress,service"
33,4k9Xo2jDgotOYITop5TqTA,,
34,N4r3XX7uH42aXhHvFMkxjA,,taco
35,yb7ZtgMWSZboG_sSUx9g2A,"asada,salsa,service,steak","lunch,time,meat,taco"
36,rjUuCbH7q-bSw5iWMwMHhQ,,
