"","business_id","name","latitude","longitude","stars","review_count","is_open","romantic","intimate","classy","hipster","divey","touristy","trendy","upscale","casual","dessert","latenight","lunch","dinner","brunch","breakfast","GoodForKids","RestaurantsReservations","Caters","NoiseLevel","RestaurantsTableService","RestaurantsTakeOut","RestaurantsPriceRange2","OutdoorSeating","BikeParking","HasTV","WiFi","Alcohol","RestaurantsAttire","RestaurantsGoodForGroups","RestaurantsDelivery","BusinessAcceptsCreditCards","WheelchairAccessible","park","business_id_imp","name_imp","latitude_imp","longitude_imp","stars_imp","review_count_imp","is_open_imp","romantic_imp","intimate_imp","classy_imp","hipster_imp","divey_imp","touristy_imp","trendy_imp","upscale_imp","casual_imp","dessert_imp","latenight_imp","lunch_imp","dinner_imp","brunch_imp","breakfast_imp","GoodForKids_imp","RestaurantsReservations_imp","Caters_imp","NoiseLevel_imp","RestaurantsTableService_imp","RestaurantsTakeOut_imp","RestaurantsPriceRange2_imp","OutdoorSeating_imp","BikeParking_imp","HasTV_imp","WiFi_imp","Alcohol_imp","RestaurantsAttire_imp","RestaurantsGoodForGroups_imp","RestaurantsDelivery_imp","BusinessAcceptsCreditCards_imp","WheelchairAccessible_imp","park_imp"
"1","1Dfx3zM-rW4n-31KeC8sJg","Taco Bell",33.4951941,-112.0285876,3,18,"1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","'quiet'","False","True",1,"False","True","False","'no'","'beer_and_wine'","'casual'","True","False","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2","tstimHoMcYbkSC4eBA1wEg","Maria's Mexican Restaurant & Bakery",36.1956146,-115.0405289,4.5,184,"1","False","False","False","False","False","False","False","False","True","False","False","True","True","False","False","True","False","False","'average'","False","True",1,"False","True","True","'no'","'beer_and_wine'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"3","NPHZkn1e-tSJAbo8Zm9rYw","Burrito Bandidos",43.6661812,-79.3164682,3.5,43,"1","False","False","False","False","False","False","False","False","True","False","False","True","True","False","False","True","False","False","'average'","False","True",2,"False","True","False","'no'","'beer_and_wine'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"4","voZnDQs6Hs3YpNcS-9TALg","New Mexican Grill",33.261325,-111.790815,4,84,"0","False","False","False","False","False","False","False","False","True","False","False","True","True","False","False","True","False","True","'average'","False","True",1,"False","True","True","'no'","'full_bar'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"5","jScBTQtdAt-8RshaiBEHgw","Served",36.0107451,-115.0648029,4.5,664,"1","False","False","False","False","False","False","True","False","True","False","False","True","False","True","True","True","True","True","'quiet'","True","True",2,"False","False","False","'no'","'beer_and_wine'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","IgQ8lSds3AgLFQsYsshUHQ","Gourmet Gringos",43.6690438622,-79.3044535463,3.5,29,"0","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","'average'","True","True",2,"False","False","True","'no'","'full_bar'","'casual'","True","True","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"7","Rs8Wi4OEjeOX7LVlzsXDOA","Sushi Mocorito",33.5371638,-112.1329258,3,9,"1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","'quiet'","False","True",2,"False","True","True","'no'","'full_bar'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"8","c7JoAt6a3Ufkpn3TrGU23A","Santanas Mexican Food",33.436984,-112.1012667,3,6,"1","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","'quiet'","False","True",1,"False","True","True","'no'","'beer_and_wine'","'casual'","True","False","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9","AXq8uPxqBP-c5PCrnba-4A","Mexico Lindo",43.7083547605,-79.3101267401,4.5,6,"1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","'average'","False","True",1,"True","True","False","'no'","'beer_and_wine'","'casual'","True","False","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"10","jX9DocoiY4Bo9EUkaTSqvg","China AAA",35.99822,-115.102246,4.5,149,"1","False","False","False","True","False","False","True","False","True","False","False","True","True","False","False","True","False","True","'average'","True","True",2,"False","False","True","'free'","'full_bar'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11","UdL8Z06DaNj6qhen0fEH9A","Mariscos El Dorado Sin",33.3945859,-112.0736843,2,7,"1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","'average'","False","True",1,"False","True","False","'no'","'beer_and_wine'","'casual'","True","False","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"12","HqerocZHKSRFD8NTrIkbaw","Taxco Mexican Grill",35.172354,-80.661499,3,52,"1","False","False","False","False","False","False","False","False","True","False","False","True","True","False","False","True","False","False","'average'","True","True",2,"True","True","True","'no'","'full_bar'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"13","3-aEgS7X2jrbxA7sA1nARw","La Flor De Calabaza",33.4559491,-112.072089,3,90,"1","False","False","False","False","False","False","False","False","True","True","False","True","False","False","False","False","True","True","'average'","True","True",2,"True","True","True","'free'","'full_bar'","'casual'","True","True","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14","rwscnQMpddjkVNaJQhNuHw","Birrieria Obregon",33.4753533,-112.1348711,4,24,"1","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","'average'","True","True",1,"False","True","True","'no'","'beer_and_wine'","'casual'","True","False","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"15","Gj8ANgQ6FcWdhrpEwUsxqQ","El Taino",41.4709126,-81.696918,2.5,4,"0","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","'quiet'","False","True",1,"False","True","True","'no'","'full_bar'","'casual'","True","False","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"16","dusNIzdCaH6EoLl2hRy6cQ","Chipotle Mexican Grill",36.120095,-115.171769,3.5,115,"1","False","False","False","False","False","False","False","False","True","False","False","True","True","False","False","True","False","False","'loud'","False","True",1,"True","False","False","'no'","'beer_and_wine'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"17","9vub2LM7Djy8P-LPumcLXA","Tacos Chiwas",33.465551,-112.0401151,4.5,453,"1","False","False","False","False","False","False","False","False","True","False","False","True","True","False","False","True","False","True","'average'","False","True",1,"False","True","False","'no'","'beer_and_wine'","'casual'","False","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18","q8MUVVuQpfR6v0HBHmAFxw","The Combine Eatery",43.676642,-79.357421,3.5,82,"0","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","True","True","True","'average'","True","True",2,"True","True","False","'no'","'full_bar'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"19","giCq1MmW-_S2tvNOAHvJcQ","Tarbell's The Tavern",33.5091229429,-112.0126287829,4,107,"1","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","False","True","True","'average'","True","True",2,"True","True","True","'no'","'beer_and_wine'","'casual'","True","False","True","True","1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"20","GvEjbCm5sNdLZ4fzJ9hvUQ","Bahia De Kino",33.4079589844,-111.8536605835,3,7,"1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","'loud'","False","True",2,"False","True","True","'free'","'full_bar'","'casual'","True","False","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"21","9ttdN9MIS1j9c8Hp5TmZnw","Baja Fresh",36.1977963,-115.1918552,3,7,"0","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","'loud'","False","True",2,"False","False","False","'no'","'full_bar'","'casual'","False","False","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"22","vrSJPjntzfCPgogFPSCHiA","Don Patron",41.2532681839,-81.3638442734,4,48,"1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","'average'","False","True",2,"True","True","True","'free'","'full_bar'","'casual'","True","False","True","True","0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
