,business_id,positive words,negative words
0,1Dfx3zM-rW4n-31KeC8sJg,,"quesadilla,lunch,service,chicken,time,taco"
1,tstimHoMcYbkSC4eBA1wEg,vegan,"guacamole,service,waitress,tortilla,salsa,chips"
2,NPHZkn1e-tSJAbo8Zm9rYw,"time,guacamole,chicken","steak,burrito,service"
3,voZnDQs6Hs3YpNcS-9TALg,"burrito,pork,chicken,salad,chile","time,asada,salsa"
4,jScBTQtdAt-8RshaiBEHgw,"pork,fish,breakfast",service
5,IgQ8lSds3AgLFQsYsshUHQ,"time,pork,vegan","dinner,fish,guacamole,service,beef,taco"
6,Rs8Wi4OEjeOX7LVlzsXDOA,,"rice,time,service"
7,c7JoAt6a3Ufkpn3TrGU23A,,"staff,service"
8,AXq8uPxqBP-c5PCrnba-4A,,"lunch,service"
9,jX9DocoiY4Bo9EUkaTSqvg,rice,"time,burrito,chipotle,price"
10,UdL8Z06DaNj6qhen0fEH9A,,service
11,HqerocZHKSRFD8NTrIkbaw,"drink,staff,lunch,price","burrito,time,waiter,service"
12,3-aEgS7X2jrbxA7sA1nARw,"dinner,taco,guacamole","time,service"
13,rwscnQMpddjkVNaJQhNuHw,meat,"shrimp,service"
14,Gj8ANgQ6FcWdhrpEwUsxqQ,,
15,dusNIzdCaH6EoLl2hRy6cQ,"pork,lunch,price","rice,guacamole,service,time,chipotle"
16,9vub2LM7Djy8P-LPumcLXA,,"time,taco,price"
17,q8MUVVuQpfR6v0HBHmAFxw,"atmosphere,chicken","fish,service"
18,giCq1MmW-_S2tvNOAHvJcQ,"time,fries,service","steak,lunch"
19,GvEjbCm5sNdLZ4fzJ9hvUQ,,service
20,9ttdN9MIS1j9c8Hp5TmZnw,,"time,service"
21,vrSJPjntzfCPgogFPSCHiA,lunch,"time,staff,service"
22,H2Chxto2e6dHTDJ8-s3-pQ,"salsa,fries,chips,breakfast","time,price,taco,asada,meat"
23,RJdSwvgAd2TRdQw4iOsrag,"staff,vegan","time,service,chicken"
24,GLKg_Lu1LK7A0EqR45gpAQ,,
25,I4ADugPUJJQJElQekgnY0Q,,"dinner,lunch,service,price"
26,cMK38jKxH8x5PvFfAfjZmA,"service,salsa,chicken",guacamole
27,BxRsg5YTYnxXEhoGcabydg,chipotle,"rice,asada,price"
28,nYvBZYg9rfqWFTYuxSVMdw,"dinner,staff,lunch,guacamole","time,service,chicken"
29,v7UIeEvwNd3fleFE6icm3A,,"taco,atmosphere"
30,FiG8PzWKRYehtPPcPtOStw,"beef,price,chile","burrito,service,time,salsa,margarita"
31,4PqqRa7o_eNydKdGWYdIog,"beef,rice,asada,chicken","service,time,salsa,taco,meat"
32,VR2LTEsJByan97fcYRkl5w,shrimp,"waitress,service"
33,4k9Xo2jDgotOYITop5TqTA,,
34,N4r3XX7uH42aXhHvFMkxjA,,taco
35,yb7ZtgMWSZboG_sSUx9g2A,"steak,asada,service,salsa","time,lunch,taco,meat"
36,rjUuCbH7q-bSw5iWMwMHhQ,,
37,BIbjBxoiJLS8CnNsSP64TQ,"rice,staff,service","time,quesadilla,taco,breakfast"
38,aUMKmVALAzchG1RM6lGjag,,"time,service"
39,_EVOLAjWYEfSOO_smbBxaA,"staff,chips","time,line,chipotle,chicken"
40,QvyG5fZ0mxo5yeLY8jabCA,"drink,time,service","shrimp,margarita,lunch"
41,pOoTOFxOh3UH03par0xEBg,,"taco,pork,service"
42,SYKIUCvN9JdSkVampgccfA,,"burrito,breakfast,time,asada,fries,taco,salsa"
43,G1lB2bUf1MT1FZT8TBy62g,"time,asada,lunch,service","burrito,staff,taco,fries,chile"
