,business_id,positive words,negative words
0,1Dfx3zM-rW4n-31KeC8sJg,,"quesadilla,chicken,taco,service,lunch,time"
1,tstimHoMcYbkSC4eBA1wEg,tortilla,"salsa,chips,service,waitress"
2,NPHZkn1e-tSJAbo8Zm9rYw,"chicken,time,guacamole","service,burrito,steak"
3,voZnDQs6Hs3YpNcS-9TALg,,"salad,chicken,pork,time,asada,salsa,chile"
4,jScBTQtdAt-8RshaiBEHgw,"breakfast,fish,pork","waitress,lunch,service,wait"
5,IgQ8lSds3AgLFQsYsshUHQ,"guacamole,vegan,pork","fish,service,time,dinner,taco,beef"
6,Rs8Wi4OEjeOX7LVlzsXDOA,,"time,service,rice"
7,c7JoAt6a3Ufkpn3TrGU23A,,"staff,service"
8,AXq8uPxqBP-c5PCrnba-4A,,"lunch,service"
9,jX9DocoiY4Bo9EUkaTSqvg,rice,"time,chipotle"
10,UdL8Z06DaNj6qhen0fEH9A,,service
11,HqerocZHKSRFD8NTrIkbaw,"staff,price,burrito","service,waiter"
12,3-aEgS7X2jrbxA7sA1nARw,"guacamole,dinner,taco,patio","time,service"
13,rwscnQMpddjkVNaJQhNuHw,,"service,meat,shrimp"
14,Gj8ANgQ6FcWdhrpEwUsxqQ,,
15,dusNIzdCaH6EoLl2hRy6cQ,pork,"chipotle,staff,service,time,rice"
16,9vub2LM7Djy8P-LPumcLXA,time,"lunch,taco,service,price"
17,q8MUVVuQpfR6v0HBHmAFxw,chicken,"time,fish,service"
18,giCq1MmW-_S2tvNOAHvJcQ,"time,service,fries","lunch,steak"
19,GvEjbCm5sNdLZ4fzJ9hvUQ,,service
20,9ttdN9MIS1j9c8Hp5TmZnw,,"time,service"
21,vrSJPjntzfCPgogFPSCHiA,"lunch,staff","time,service"
22,H2Chxto2e6dHTDJ8-s3-pQ,"chicken,salsa,fries","time,taco,asada,meat"
23,RJdSwvgAd2TRdQw4iOsrag,staff,"time,service,chicken"
24,GLKg_Lu1LK7A0EqR45gpAQ,,
25,I4ADugPUJJQJElQekgnY0Q,dinner,"lunch,price,service"
26,cMK38jKxH8x5PvFfAfjZmA,"service,salsa","waitress,guacamole"
27,BxRsg5YTYnxXEhoGcabydg,,"chipotle,asada,price,rice"
28,nYvBZYg9rfqWFTYuxSVMdw,"time,staff,guacamole,dinner","service,waiter,waitress,lunch,chicken,atmosphere"
29,v7UIeEvwNd3fleFE6icm3A,,"taco,atmosphere"
30,FiG8PzWKRYehtPPcPtOStw,"beef,price,chile","service,time,taco,salsa"
31,4PqqRa7o_eNydKdGWYdIog,"chicken,asada,salsa,beef","time,taco,service,meat"
32,VR2LTEsJByan97fcYRkl5w,"time,shrimp","waitress,beer,service"
33,4k9Xo2jDgotOYITop5TqTA,,
34,N4r3XX7uH42aXhHvFMkxjA,,taco
35,yb7ZtgMWSZboG_sSUx9g2A,"service,asada,salsa,steak","meat,burrito"
36,rjUuCbH7q-bSw5iWMwMHhQ,,
37,BIbjBxoiJLS8CnNsSP64TQ,"chicken,staff,burrito","quesadilla,service,time,rice,breakfast"
38,aUMKmVALAzchG1RM6lGjag,,"time,service"
39,_EVOLAjWYEfSOO_smbBxaA,chicken,"chipotle,line,staff,time,chips"
40,QvyG5fZ0mxo5yeLY8jabCA,"lunch,taco","time,staff,margarita,service"
41,pOoTOFxOh3UH03par0xEBg,,"taco,service,pork"
42,SYKIUCvN9JdSkVampgccfA,,"breakfast,salsa,burrito"
43,G1lB2bUf1MT1FZT8TBy62g,"service,fries,time,asada,taco","lunch,staff,burrito"
44,7mMRxAxiPvhyLvbmhnGFsQ,minute,"service,fries,time,steak,taco"
45,9-3de3NJte9Y2YsE3yl2EA,,service
46,Kbidfh24_7-a380tovQeYA,,"time,price,service,steak"
47,24hc1g8a7besgI0tMb3v7w,"chips,lunch","time,taco,service"
48,2tKGpV_M8KBo47CJXRs77w,,
49,a9aW5e731lplWGHUZ02-zQ,"time,burrito","meat,rice"
50,XDYCIRENiT2doRZgwNJ3SA,"asada,price","service,meat,fries,time,burrito,chicken,taco"
51,hySFMXFqyb7rNuxS8koNrQ,"minute,service","time,staff,taco"
52,0rN_o7_IfshAHQwzMUK8nA,"chicken,lunch,staff,wait","chipotle,line,service,time,manager"
53,zgAh21YWYaZUSEGi_E5SVg,,"service,burrito"
54,Ouh38adC9WbCRSSyYGtL3Q,"lunch,margarita,chicken","salad,time,dinner,service"
55,036SeqOKaKx89Liw5RDKqA,fries,"service,time,price"
56,lVULxfPrpjnlOzF_jilRAA,"time,drink,staff","line,service,rice,steak,salad,taco,margarita,salsa"
57,rfdMlP5V4p37n3cDDGLFbg,"service,lunch,drink,chips,taco,salsa",price
58,PpwnEPXJwxnmBveEjgb5-w,,time
59,kZ36LGvnwetEq-seqwhkkw,"staff,atmosphere","salad,time,service"
60,Ktia9NJfvxVxTLVcEnw9zQ,,"breakfast,service,time,price,salsa"
61,DfD-xc8788c081WiFjluTA,"lunch,beer,service,price","time,staff,taco"
62,bxTieCzz5_RxGKp3N4E6MA,,"taco,fries"
63,NjDC1Evc2Wa6ykj8xVpoUw,chips,"fish,service,time,steak,taco"
64,tyjquHslrAuF5EUejbPfrw,,"chips,time,chicken"
65,_Fo8uNT17BEBUkKvUXCZkQ,"time,vegan,asada,taco","lunch,staff,meat,pork"
66,mGriYfWJcLJGjkuqr0a5OA,"breakfast,taco,price,fries","time,service,lunch"
67,lSO9qpXaZZWufIZzH5L1IQ,,service
68,4ZNr_HOSCXMCzY4xN4WACA,,taco
69,kDkHOrLyYfzvIeus7GMr-g,,time
70,51K92JdkWICGDvvVCBYhFA,"fish,line,lunch,burrito,taco,shrimp","chicken,service,steak"
71,mHOyR-RZBxCABm-Svga8Ow,,"taco,service"
72,-PKUAor_Nz_IaNjP_jIwyA,"chips,salsa,atmosphere","staff,service,time,table,patio"
